M,,m,,dim,,aug,,sus4,,sus2,,7,,m7,,M7,,m7b5,,7b5,,7sus4,,add9,,madd9,,mM7,,dim7,,6,,m6,,69,,m69,,7(b9),,7(9),,7(#9),,7(#11),,7(b13),,7(13),,m7(9),,m7(11),,M7(9),,mM7(9),,M7b5,,dim M7,,aug 7,,aug M7,,b5,,5,,8,
5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60
5,61,5,62,5,62,5,62,5,64,5,64,5,61,5,62,5,61,5,62,5,62,5,64,5,61,5,61,5,62,5,62,5,61,5,62,5,61,5,61,5,61,5,61,5,61,5,61,5,61,5,61,5,62,5,62,5,61,5,62,5,62,5,62,5,62,5,62,5,62,5,61,5,61
5,62,5,63,5,63,5,64,5,65,5,65,5,62,5,63,5,62,5,63,5,64,5,65,5,62,5,62,5,63,5,63,5,62,5,63,5,62,5,62,5,62,5,62,5,62,5,62,5,62,5,62,5,63,5,63,5,62,5,63,5,64,5,63,5,64,5,64,5,64,5,62,5,62
5,63,5,62,5,62,5,63,5,64,5,64,5,63,5,62,5,63,5,62,5,63,5,64,5,63,5,62,5,62,5,62,5,63,5,62,5,63,5,62,5,63,5,63,5,63,5,63,5,63,5,63,5,62,5,62,5,63,5,62,5,63,5,62,5,63,5,63,5,63,5,63,5,63
5,64,5,63,5,63,5,64,5,65,5,62,5,64,5,63,5,64,5,63,5,64,5,65,5,64,5,63,5,63,5,63,5,64,5,63,5,62,5,62,5,64,5,64,5,64,5,64,5,64,5,64,5,63,5,63,5,64,5,63,5,64,5,63,5,64,5,64,5,64,5,60,5,60
5,67,5,67,5,66,5,68,5,67,5,67,5,67,5,67,5,67,5,66,5,66,5,67,5,67,5,67,5,67,5,66,5,69,5,69,5,69,5,69,5,67,5,67,5,67,5,67,5,67,5,67,5,67,5,67,5,67,5,67,5,66,5,66,5,68,5,68,5,66,5,65,5,65
5,66,5,66,5,65,5,67,5,66,5,66,5,66,5,66,5,66,5,65,5,65,5,66,5,66,5,66,5,66,5,65,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,65,5,65,5,67,5,67,5,65,5,68,5,68
5,67,5,67,5,66,5,68,5,67,5,67,5,70,5,70,5,71,5,66,5,66,5,70,5,74,5,74,5,71,5,69,5,69,5,69,5,69,5,69,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,71,5,71,5,66,5,71,5,70,5,71,5,66,5,67,5,72
5,68,5,66,5,65,5,67,5,66,5,66,5,69,5,69,5,70,5,69,5,65,5,66,5,66,5,66,5,66,5,65,5,69,5,67,5,69,5,69,5,69,5,69,5,69,5,69,5,69,5,69,5,69,5,69,5,70,5,66,5,65,5,65,5,67,5,67,5,65,5,68,5,68
5,69,5,67,5,66,5,68,5,67,5,67,5,70,5,70,5,71,5,70,5,66,5,67,5,67,5,67,5,67,5,66,5,69,5,69,5,69,5,69,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,71,5,67,5,66,5,66,5,68,5,68,5,66,5,69,5,69
5,70,5,67,5,66,5,68,5,67,5,67,5,70,5,70,5,71,5,70,5,70,5,70,5,74,5,74,5,71,5,66,5,69,5,69,5,69,5,69,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,71,5,71,5,71,5,71,5,70,5,71,5,66,5,70,5,70
5,71,5,72,5,72,5,72,5,72,5,72,5,70,5,70,5,71,5,70,5,70,5,70,5,72,5,72,5,71,5,72,5,72,5,72,5,72,5,72,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,70,5,71,5,71,5,71,5,71,5,70,5,71,5,72,5,71,5,71
5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72,5,72
6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60,6,60
6,61,6,62,6,62,6,62,6,64,6,64,6,61,6,62,6,61,6,62,6,62,6,64,6,61,6,61,6,62,6,62,6,61,6,62,6,61,6,61,6,61,6,61,6,61,6,61,6,61,6,61,6,62,6,62,6,61,6,62,6,62,6,62,6,62,6,62,6,62,6,61,6,61
6,62,6,63,6,63,6,64,6,65,6,65,6,62,6,63,6,62,6,63,6,64,6,65,6,62,6,62,6,63,6,63,6,62,6,63,6,62,6,62,6,61,6,62,6,63,6,62,6,62,6,62,6,62,6,63,6,62,6,63,6,64,6,63,6,64,6,64,6,64,6,62,6,62
6,63,6,62,6,62,6,63,6,64,6,64,6,63,6,62,6,63,6,62,6,63,6,64,6,63,6,62,6,62,6,62,6,63,6,62,6,63,6,63,6,63,6,63,6,63,6,63,6,63,6,63,6,62,6,62,6,63,6,62,6,63,6,62,6,63,6,63,6,63,6,63,6,63
6,64,6,63,6,63,6,64,6,65,6,62,6,64,6,63,6,64,6,63,6,64,6,65,6,64,6,63,6,63,6,63,6,64,6,63,6,64,6,63,6,64,6,64,6,64,6,64,6,64,6,64,6,63,6,63,6,64,6,63,6,64,6,63,6,64,6,64,6,64,6,60,6,60
6,65,6,63,6,63,6,64,6,65,6,65,6,64,6,63,6,64,6,63,6,64,6,65,6,62,6,62,6,63,6,63,6,64,6,63,6,64,6,63,6,64,6,64,6,64,6,64,6,64,6,64,6,63,6,63,6,64,6,63,6,64,6,63,6,64,6,64,6,64,6,65,6,65
6,66,6,66,6,65,6,67,6,66,6,66,6,66,6,66,6,66,6,65,6,65,6,66,6,66,6,66,6,66,6,65,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,65,6,65,6,67,6,67,6,65,6,66,6,66
6,67,6,67,6,66,6,68,6,67,6,67,6,67,6,67,6,67,6,66,6,66,6,67,6,67,6,67,6,67,6,66,6,67,6,67,6,69,6,69,6,70,6,70,6,70,6,66,6,68,6,69,6,70,6,65,6,71,6,71,6,66,6,66,6,68,6,68,6,66,6,67,6,72
6,68,6,66,6,65,6,67,6,66,6,66,6,69,6,69,6,70,6,69,6,65,6,66,6,66,6,66,6,66,6,65,6,69,6,67,6,69,6,69,6,69,6,69,6,69,6,69,6,69,6,69,6,69,6,69,6,70,6,66,6,65,6,65,6,67,6,67,6,65,6,68,6,68
6,69,6,67,6,66,6,68,6,67,6,67,6,70,6,70,6,71,6,70,6,66,6,67,6,67,6,67,6,67,6,66,6,69,6,69,6,69,6,69,6,70,6,70,6,70,6,70,6,68,6,69,6,70,6,70,6,71,6,67,6,66,6,66,6,68,6,68,6,66,6,69,6,69
